fyear,tic,ACT,AT,C&E,COGS,SHARE,TD,IB,CL,NI,CFO,REVT
2011,CTSH,4085.506,5507.933,2432.264,3538.622,303.106,0,883.618,1209.705,883.618,875.152,6121.156
2012,CTSH,4814.294,6521.571,2863.758,4278.241,301.68,0,1051.263,1377.33,1051.263,1172.583,7346.472
2013,CTSH,6147.882,8208.914,3747.473,5265.469,303.864,0,1228.578,1774.508,1228.578,1423.776,8843.189
2014,CTSH,6750.297,11718.916,3774.726,6141.118,609.398,987.5,1439.267,2592.094,1439.267,1473.01,10262.681
2015,CTSH,7908.6,13065.4,4949.5,7440.2,609,937.5,1623.6,2713.7,1623.6,2153.3,12416
2016,CTSH,8600,14262,5169,8108,608,878,1553,2418,1553,1621,13487
2017,CTSH,9111,15221,5056,9152,588,798,1504,2839,1504,2407,14810
2000,CLS,4520.964,5937.985,883.757,8942.223,203.746,131.945,206.679,2258.408,206.679,-85.126,9752.075
2001,CLS,3996.6,6632.9,1342.8,9099.1,229.7,147.4,-39.8,1656.8,-39.8,1290.5,10004.4
2002,CLS,3564.5,5806.8,1851,7503.4,228.6,6.9,-445.2,1471.3,-445.2,982.8,8271.6
2003,CLS,3030.1,5134.7,1028.8,6302.9,208.9,3.4,-265.8,1516.5,-265.8,-158.5,6735.3
2004,CLS,3273.3,4939.8,968.8,8200.2,225,627.5,-854.1,1815,-854.1,-139.2,8839.8
2005,CLS,3258.4,4857.8,969,7869.4,226.314,751.4,-46.8,1770.3,-46.8,218.3,8471
2006,CLS,3120.8,4686.3,803.7,8256.7,227.853,750.8,-150.6,1725.9,-150.6,39.2,8811.7
2007,CLS,2999.6,4470.5,1116.7,7541.9,228.866,758.5,-13.7,1446.6,-13.7,351.4,8070.4
2008,CLS,3171.8,3786.2,1201,7056,229.218,733.1,-720.5,1568.4,-720.5,208.2,7678.2
2009,CLS,2542.8,3106.1,937.7,5587,229.511,222.8,55,1519.8,55,293.5,6092.2
2010,CLS,2531.4,3103.6,632.8,6012.3,214.216,0,80.8,1562.5,80.8,150.9,6526.1
2011,CLS,2462.6,2969.6,658.9,6657.9,216.511,0,195.1,1346.6,195.1,196.3,7213
2012,CLS,2110.7,2658.8,550.5,5998.4,182.771,0,117.7,1198.9,117.7,312.4,6507.2
2013,CLS,2120.5,2638.9,544.3,5347.1,180.964,0,118,1109.2,118,149.4,5796.1
2014,CLS,2104.2,2583.6,565,5167.8,174.587,0,108.2,1054.3,108.2,241.5,5631.3
2015,CLS,2124,2612,545.3,5189,143.471,279.7,66.9,1133.4,66.9,196.3,5639.2
2016,CLS,2346.5,2822.3,557.2,5522.7,140.893,244.7,136.3,1245.7,136.3,173.3,6016.5
2017,CLS,2455.5,2944.7,515.2,5624.2,141.809,204.4,105,1266.8,105,127,6110.5
2000,NVDA,930.409,1016.427,698.775,460.098,68.456,300.966,99.937,110.335,99.937,67.909,735.264
2001,NVDA,1234.109,1503.174,798.377,850.233,149.553,309.757,176.924,433.494,176.924,160.806,1369.471
2002,NVDA,1351.602,1617.015,1028.413,1312.435,157.79,310.556,90.799,379.448,90.799,265.032,1869.082
2003,NVDA,1052.712,1399.344,604.043,1294.067,164.146,4.871,74.419,334.112,74.419,49.678,1822.945
2004,NVDA,1304.926,1628.536,670.045,1360.547,167.09,0.856,100.356,421.156,100.356,132.2,2010.033
2005,NVDA,1550.299,1954.687,950.174,1465.654,171.477,0,301.176,438.659,301.176,446.408,2375.687
2006,NVDA,2031.77,2675.263,1117.85,1752.322,360.989,0,448.13,638.807,448.834,587.111,3068.771
2007,NVDA,2888.829,3747.671,1809.478,2228.58,557.102,0,797.645,967.161,797.645,1270.196,4097.86
2008,NVDA,2167.958,3350.727,1255.39,2056.801,538.461,26.562,-30.041,778.591,-30.041,249.36,3424.859
2009,NVDA,2480.83,3585.918,1728.227,2042.232,561.466,25.634,-67.987,784.378,-67.987,487.807,3326.445
2010,NVDA,3226.95,4495.246,2490.563,1953.026,588.556,25.063,253.146,942.682,253.146,675.797,3543.309
2011,NVDA,3905.358,5552.928,3129.576,1729.908,612.191,23.455,581.09,929.958,581.09,909.156,3997.93
2012,NVDA,4775.258,6412.245,3727.883,1827.581,616.756,21.406,562.536,976.223,562.536,824.172,4280.159
2013,NVDA,5624.711,7250.894,4671.81,1627.293,567.997,1376.792,439.99,945.496,439.99,835.146,4130.162
2014,NVDA,5713.297,7201.368,4623.339,1861.905,544.913,1401.842,630.587,896.03,630.587,905.656,4681.507
2015,NVDA,6053,7370,5037,1982,539,10,614,2351,614,1175,5010
2016,NVDA,8536,9841,6798,2651,585,1993,1666,1788,1666,1672,6910
2017,NVDA,9255,11241,7108,3693,606,1985,3047,1153,3047,3502,9714
2000,EPAY,54.845,71.28,38.514,18.304,11.226,0,-14.265,13.869,-14.265,3.368,49.134
2001,EPAY,37.048,116.449,13.247,30.381,13.774,0,-39.999,23.485,-39.999,-1.504,77.068
2002,EPAY,45.133,97.317,25.931,31.353,15.584,0.506,-38.789,24.433,-38.789,4.591,73.986
2003,EPAY,43.231,73.362,25.802,33.386,15.961,0.253,-14.09,25.667,-27.854,0.571,71.265
2004,EPAY,48.078,90.067,25.015,34.193,17.656,0,-2.418,30.814,-2.418,1.783,82.132
2005,EPAY,63.765,110.441,35.916,38.42,18.787,0,5.888,36.213,5.888,13.217,96.505
2006,EPAY,106.404,175.834,80.497,43.108,23.554,0,-1.834,34.53,-1.834,11.855,101.665
2007,EPAY,95.634,189.984,65.873,49.876,23.814,0.068,-7.03,40.313,-7.03,11.961,118.335
2008,EPAY,70.277,201.446,35.373,55.898,23.939,0.369,-5.261,50.474,-5.261,16.181,131.241
2009,EPAY,78.952,183.151,50.303,56.627,24.311,0.237,-12.288,48.274,-12.288,24.544,138.014
2010,EPAY,157.738,269.382,122.809,64.324,30.325,0.02,3.954,53.033,3.954,26.514,157.99
2011,EPAY,168.86,363.334,112.017,80.68,32.744,0.096,35.893,68.187,35.893,30.501,189.381
2012,EPAY,185.671,392.371,124.862,95.475,34.741,0,1.705,67.315,1.705,35.415,224.284
2013,EPAY,352.75,585.522,293.077,105.633,36.045,138.582,-14.395,72.187,-14.395,41.576,254.774
2014,EPAY,280.78,700.343,191.478,122.051,37.477,148.795,-19.104,108.396,-19.104,52.221,300.585
2015,EPAY,229.241,688.484,144.388,128.337,38.105,159.76,-34.68,106.442,-34.68,62.7,330.889
2016,EPAY,216.541,652.887,132.383,133.332,37.77,171.534,-19.648,112.062,-19.648,67.157,343.274
2017,EPAY,207.593,617.439,126.542,139.093,37.443,183.682,-33.137,295.987,-33.137,60.975,349.412
2000,KFY,226.402,500.329,104.86,360.786,37.516,23.723,31.013,171.194,31.013,63.436,653.777
2001,KFY,171.895,377.574,66.128,256.512,37.869,14.452,-98.251,146.285,-98.251,-59.519,393.891
2002,KFY,161.635,369.013,82.685,223.192,37.59,46.463,-22.902,88.962,-22.902,24.495,338.466
2003,KFY,182.712,394.686,108.102,244.734,38.17,54.912,5.403,94.418,5.403,30.959,350.703
2004,KFY,304.468,534.168,206.948,318.615,39.888,55.744,38.62,158.397,38.62,87.783,476.377
2005,KFY,394.5,635.491,278.197,373.123,41.201,56.136,59.43,176.291,59.43,83.125,551.769
2006,KFY,464.76,761.491,324.267,487.167,47.174,0,55.498,229.489,55.498,104.76,689.201
2007,KFY,526.268,880.214,368.787,598.806,44.593,0,66.211,272.458,66.211,112.434,835.642
2008,KFY,371.597,740.879,259.263,492.02,44.729,0,-10.092,173.347,-10.092,6.123,676.128
2009,KFY,386.451,827.098,223.347,454.925,45.979,0,5.298,198.083,5.298,-29.888,599.649
2010,KFY,441.597,971.68,267.724,559.171,47.003,0,58.874,233.866,58.874,97.242,776.251
2011,KFY,500.067,1014.689,322.941,590.075,47.913,0,54.303,215.312,54.303,72.644,826.759
2012,KFY,447.1,1115.229,244.413,621.193,48.734,0,33.293,268.551,33.293,63.604,849.701
2013,KFY,561.954,1233.666,343.283,722.057,49.811,0,72.691,286.933,72.691,131.602,995.559
2014,KFY,640.985,1317.801,406.595,769.056,50.573,0,88.357,306.01,88.357,108.932,1066.066
2015,KFY,664.274,1898.6,284.59,988.818,57.272,140,30.913,476.264,30.913,66.454,1346.714
2016,KFY,843.674,2062.898,415.245,1198.528,56.938,255.976,84.181,458.579,84.181,106.628,1621.669
2017,KFY,1014.259,2287.914,535.141,1329.579,56.517,236.222,133.779,558.46,133.779,219.125,1819.519
2000,EXTR,302.484,515.93,183.361,119.923,53.335,0,20.048,96.603,20.048,24.819,261.956
2001,EXTR,350.761,688.357,157.096,266.047,113.416,0,-68.883,139.329,-68.883,-4.653,491.232
2002,EXTR,368.476,735.751,236.497,213.299,115.03,200,-183.962,146.521,-183.962,20.469,441.609
2003,EXTR,225.999,550.257,163.617,186.992,116.568,200,-197.18,129.773,-197.18,10.081,363.276
2004,EXTR,288.18,579.273,221.242,152.511,120.423,200,-1.748,128.154,-1.748,21.468,351.848
2005,EXTR,324.49,583.614,255.359,164.451,121.908,200,12.942,104.904,12.942,16.458,383.347
2006,EXTR,446.728,558.718,390.324,152.826,117.333,200,8.509,299.481,8.509,28.037,358.601
2007,EXTR,225.956,341.897,163.172,149.713,114.051,0,-14.197,104.281,-14.197,-0.27,342.834
2008,EXTR,196.559,365.761,113.292,149.334,116.304,0,8.381,116.463,8.381,16.166,361.835
2009,EXTR,116.441,246.637,55.171,139.129,88.8,0,2.815,93.027,2.815,4.702,335.559
2010,EXTR,182.081,259.945,113.858,127.273,90.202,0,0.227,99.452,0.227,9.306,309.354
2011,EXTR,157.414,270.973,91.329,140.176,92.522,0,2.713,99.853,2.713,16.777,334.428
2012,EXTR,169.109,284.59,77.954,135.709,94.334,0,15.872,96.748,15.872,13.813,322.722
2013,EXTR,208.781,311.424,138.837,130.686,93.626,0,9.673,112.502,9.673,32.237,299.343
2014,EXTR,302.856,526.432,105.882,218.41,96.98,121.563,-57.31,246.308,-57.31,-26.843,524.81
2015,EXTR,237.994,428.66,76.225,242.289,100.284,66.875,-71.643,235.43,-71.643,37.423,552.94
2016,EXTR,228.968,374.849,94.122,231.43,104.943,55.5,-31.884,211.773,-31.884,30.366,528.389
2017,EXTR,324.967,483.346,130.45,247.207,110.925,92.702,-8.517,255.822,-8.517,59.283,598.118
