fyear,tic,ACT,AT,C&E,COGS,SHARE,TD,IB,CL,NI,CFO,REVT
2006,FSLR,388.522,578.51,308.415,70.52,72.332,64.358,3.974,52.073,3.974,-0.576,134.974
2007,FSLR,802.509,1371.312,636.95,227.773,78.575,83.692,158.354,186.478,158.354,205.951,503.976
2008,FSLR,1077.401,2114.502,792.26,505.073,81.597,198.47,348.33,381.777,348.33,463.067,1246.301
2009,FSLR,1351.271,3349.512,784.735,896.718,85.208,174.958,640.138,394.927,640.138,675.193,2066.2
2010,FSLR,1584.46,4380.403,933.578,1228.069,85.844,237.391,664.201,469.677,664.201,705.492,2563.515
2011,FSLR,2613.261,5777.614,671.765,1397.742,86.468,663.648,-39.493,973.724,-39.493,-33.463,2766.207
2012,FSLR,2832.324,6348.692,1008.972,2210.953,87.145,562.572,-96.338,1101.374,-96.338,762.209,3368.545
2013,FSLR,3792.764,6883.502,1764.174,2207.435,99.507,223.323,353.038,1588.061,353.038,856.126,3308.989
2014,FSLR,3190.466,6724.439,2065.781,2317.109,100.289,216.921,396.918,1001.096,396.918,680.989,3391.814
2015,FSLR,3345.586,7316.331,1902.806,2401.928,101.767,331.398,546.421,960.8,546.421,-360.919,3578.995
2016,FSLR,3786.62,6867.213,1992.3,2014.349,104.035,226.921,-357.964,899.707,-357.964,206.753,2951.328
2017,FSLR,3832.772,6864.501,3000.033,2272.877,104.468,428.523,-165.615,650.276,-165.615,1340.677,2941.324
2006,IPGP,156.439,232.492,75.667,70.826,42.902,38.367,29.233,40.771,29.233,19.202,143.225
2007,IPGP,155.691,263.321,44.922,91.391,44.012,20,29.895,34.482,29.895,10.657,188.677
2008,IPGP,181.023,313.218,51.283,108.614,44.966,19.33,36.654,49.026,36.654,34.671,229.076
2009,IPGP,180.914,312.636,82.92,106.145,46.076,18,5.419,36.831,5.419,54.405,185.894
2010,IPGP,300.801,441.855,147.86,134.814,46.989,16.977,53.991,82.77,53.991,63.432,299.256
2011,IPGP,434.457,608.132,205.685,196.185,47.616,17.339,117.759,93.712,117.759,87.351,474.482
2012,IPGP,664.959,895.498,384.053,234.142,51.359,15.519,145.004,125.455,145.004,175.276,562.528
2013,IPGP,786.343,1061.216,448.776,278.019,51.931,12.666,155.78,100.079,155.78,119.367,648.034
2014,IPGP,893.838,1210.887,522.15,319.77,52.37,33,200.445,122.075,200.445,180.105,769.832
2015,IPGP,1122.935,1453.429,689.116,367.844,52.884,19.667,242.154,144.98,242.154,256.571,901.265
2016,IPGP,1300.962,1789.999,830.634,401.151,53.252,40.823,260.752,158.275,260.752,292.288,1006.173
2017,IPGP,1754.01,2367.255,1116.157,546.962,53.629,48.982,347.614,198.903,347.614,405.395,1408.889
2006,CSIQ,116.943,129.634,41.736,55.666,27.27,0,-9.43,15.855,-9.43,-46.276,68.212
2007,CSIQ,219.9,284.502,39.293,277.411,27.32,92.865,-0.21,59.213,-0.21,-80.224,302.798
2008,CSIQ,339.023,570.731,136.283,624.784,35.745,52.21,-9.388,172.662,-9.388,3.193,705.006
2009,CSIQ,753.988,1038.703,339.502,532.347,42.774,70.262,22.646,514.941,22.646,50.915,630.961
2010,CSIQ,1034.666,1423.367,476.247,1235.471,42.893,121.503,50.569,775.333,50.569,-58.487,1495.509
2011,CSIQ,1295.576,1879.808,522.265,1660.522,43.156,177.448,-90.806,1236.448,-90.806,60.124,1898.923
2012,CSIQ,1442.204,2259.313,564.325,1123.07,43.242,232.044,-195.469,1540.25,-195.469,-147.759,1294.829
2013,CSIQ,1719.356,2453.735,679.403,1297.84,51.034,287.841,31.659,1778.359,31.659,229.549,1654.356
2014,CSIQ,2315.886,3072.424,989.504,2297.006,55.162,339.179,239.502,1949.265,239.502,265.106,2960.627
2015,CSIQ,2264.093,4417.254,1087.786,2796.639,55.965,924.947,171.861,2656.324,171.861,413.658,3467.626
2016,CSIQ,3790.763,5406.606,998.555,2340.041,57.83,1356.926,65.249,3721.066,65.249,-278.073,2853.078
2017,CSIQ,4085.303,5889.627,1179.44,2653.522,58.497,1762.851,99.572,4108.012,99.572,203.92,3390.393
2006,ALLT,88.694,101.184,77.54,6.68,20.986,0,0.616,13.042,0.616,1.238,34.144
2007,ALLT,50.116,94.655,35.406,6.533,22.008,0,-9.94,12.891,-9.94,-6.102,32.502
2008,ALLT,54.531,82.851,42.15,7.589,22.067,0,-16.495,13.843,-16.495,-0.176,37.101
2009,ALLT,55.3,82.943,38.794,9.251,22.397,0,-7.672,17.121,-7.672,-0.392,41.751
2010,ALLT,85.976,95.187,59.449,13.285,23.806,0,-5.762,26.135,-5.762,7.351,56.972
2011,ALLT,187.777,197.058,159.4,19.297,30.95,0,8.809,28.84,8.809,15.197,77.753
2012,ALLT,180.069,221.791,143.055,25.97,32.547,0,-6.738,48.471,-6.738,8.692,104.752
2013,ALLT,160.535,199.257,121.611,20.461,32.877,0,-6.457,26.601,-6.457,-19.25,96.545
2014,ALLT,171.702,212.948,132.451,29.836,33.32,0,-2.497,33.528,-2.497,15.835,117.186
2015,ALLT,161.85,208.215,123.294,22.731,33.558,0,-19.842,35.094,-19.842,4.186,99.967
2016,ALLT,148.926,190.94,113.654,24.26,33.058,0,-7.994,24.946,-7.994,-3.464,90.369
2017,ALLT,143.29,184.525,110.007,24.458,33.483,0,-18.072,31.504,-18.072,-0.228,81.992
2007,MLNX,190.16,202.4,153.59,19.258,31.04,3.169,35.588,19.545,35.588,25.939,84.078
2008,MLNX,222.017,244.771,183.157,19.787,31.774,1.591,22.371,23.085,22.371,31.012,107.701
2009,MLNX,255.333,275.386,213.157,24.598,32.682,1.002,12.886,24.107,12.886,32.788,116.044
2010,MLNX,289.403,315.755,253.306,34.773,34.231,0.474,13.54,23.778,13.54,41.232,154.64
2011,MLNX,318.626,530.03,238.083,72.27,39.735,0.578,9.977,67.093,9.977,63.139,259.251
2012,MLNX,540.326,771.046,422.876,135.825,42.596,4.088,111.38,108.581,111.38,182.489,500.799
2013,MLNX,450.223,806.826,326.692,101.187,43.999,2.977,-23.342,98.062,-23.342,51.87,390.436
2014,MLNX,516.507,863.218,388.968,112.839,45.488,1.596,-24.009,117.645,-24.009,80.13,463.649
2015,MLNX,677.238,1053.382,510.513,149.789,47.12,0.491,92.894,137.13,92.894,150.488,658.14
2016,MLNX,553.078,1473.505,328.441,204.488,49.076,242.414,18.518,212.567,18.518,196.11,857.498
2017,MLNX,506.919,1401.934,273.754,206.327,51.488,72.761,-19.425,196.633,-19.425,161.312,863.893
2007,GLUU,91.411,161.505,59.81,16.296,29.023,0,-3.326,22.365,-3.326,-0.951,66.867
2008,GLUU,56.994,92.076,19.166,26.127,29.584,24.125,-106.692,43.359,-106.692,-5.889,89.767
2009,GLUU,35.798,57.738,10.51,26.09,30.36,16.379,-18.194,38.429,-18.194,1.13,79.344
2010,GLUU,28.548,44.816,12.863,15.331,44.585,2.288,-13.423,23.072,-13.423,2.249,64.345
2011,GLUU,46.397,82.804,32.212,11.074,63.749,0,-21.101,25.128,-21.101,-6.727,66.185
2012,GLUU,39.373,74.955,22.325,27.262,66.022,0,-20.459,29.878,-20.459,-6.749,108.183
2013,GLUU,54.464,87.011,28.496,30.099,78.464,0,-19.909,37.957,-19.909,-9.578,105.613
2014,GLUU,121.395,251.663,70.912,78.479,107.174,0,8.148,76.021,8.148,30.574,223.146
2015,GLUU,237.054,402.986,180.542,95.322,131.58,0,-7.185,70.626,-7.185,-11.465,249.9
2016,GLUU,155.03,339.504,102.102,102.399,134.001,0,-87.44,84.34,-87.44,-19.784,200.581
2017,GLUU,137.576,299.298,64.366,127.627,138.745,0,-97.57,132.904,-97.57,-28.236,286.827
2007,TYPE,28.096,276.346,19.584,7.676,34.263,131.4,9.064,40.882,9.064,27.278,105.152
2008,TYPE,41.191,277.421,31.941,7.976,34.513,113.596,15.381,38.227,15.381,30.533,110.861
2009,TYPE,43.19,272.377,34.616,5.69,34.669,91.353,13.402,32.672,13.402,28.071,94.005
2010,TYPE,50.676,278.805,42.786,6.437,35.395,65.859,18.36,31.83,18.36,43.658,106.659
2011,TYPE,64.905,283.822,53.85,9.049,36.243,37.321,22.669,32.38,22.669,39.313,123.212
2012,TYPE,53.217,320.066,39.34,19.688,37.216,22.321,28.965,39.273,28.965,50.428,149.861
2013,TYPE,97.013,356.359,78.411,22.209,39.073,0,31.085,28.318,31.085,51.336,166.624
2014,TYPE,109.456,374.458,90.325,26.892,39.466,0,32.545,33.473,32.545,61.579,184.5
2015,TYPE,109.103,391.787,87.52,27.039,40.02,0,26.197,35.288,26.197,53.364,192.419
2016,TYPE,125.581,525.02,91.434,28.69,41.279,105,14.886,48.486,14.886,40.739,203.441
2017,TYPE,136.188,526.05,94.809,33.96,41.719,93,11.56,60.187,11.56,32.882,235.789
2007,PRO,63.324,68.98,44.378,16.761,26.079,0,10.517,29.407,10.517,10.024,62.08
2008,PRO,71.396,76.594,51.979,17.889,25.678,0,10.757,29.655,10.757,13.823,75.588
2009,PRO,78.627,85.329,62.449,17.362,25.746,0,5.516,27.872,5.516,11.463,68.783
2010,PRO,89.49,98.128,55.918,19.206,26.359,0,-1.931,37.164,-1.931,-5.276,74.179
2011,PRO,110.674,121.259,68.457,24.828,27.015,0,6.35,44.466,6.35,14.243,96.639
2012,PRO,127.426,146.479,83.558,31.499,27.549,0,4.966,54.476,4.966,24.652,117.791
2013,PRO,137.129,179.828,84.406,38.896,28.189,0,3.446,65.002,3.446,16.971,144.837
2014,PRO,240.289,300.125,161.119,52.81,29.06,110.448,-36.644,88.386,-36.644,1.754,185.829
2015,PRO,211.041,263.722,164.27,53.709,29.739,116.371,-65.811,86.354,-65.811,15.532,168.246
2016,PRO,173.657,227.654,134.035,54.86,30.584,122.299,-75.225,96.721,-75.225,-14.345,153.276
2017,PRO,202.056,288.683,160.505,59.912,31.939,213.203,-77.926,102.025,-77.926,-25.313,168.816
2007,VRTU,132.087,180.77,81.863,88.924,23.008,,17.771,23.279,17.771,13.44,165.198
2008,VRTU,126.137,187.023,79.031,100.694,22.658,,12.057,31.314,12.057,25.611,172.942
2009,VRTU,123.27,215.873,74.896,88.856,23.438,3.056,12.129,30.903,12.129,18.577,164.365
2010,VRTU,159.031,246.177,96.094,126.098,24.335,1.958,16.2,35.767,16.2,19.766,217.979
2011,VRTU,166.487,273.393,83.988,169.129,24.794,1.017,20.035,52.057,20.035,20.917,277.771
2012,VRTU,194.884,303.919,87.001,206.826,25.177,0.032,28.398,49.234,28.398,22.753,333.175
2013,VRTU,260.089,449.425,141.311,239.031,28.407,0.122,34.375,66.77,34.375,48.919,396.933
2014,VRTU,347.238,489.737,215.261,290.87,28.998,0.256,42.446,61.204,42.446,48.917,478.986
2015,VRTU,528.779,980.012,296.824,372.831,29.43,194.778,44.802,141.264,44.802,45.891,600.302
2016,VRTU,480.242,923.42,217.11,595.098,29.906,185.83,11.858,125.762,11.858,22.231,858.731
2017,VRTU,549.335,1113.18,241.098,697.908,29.589,299.723,1.254,216.7,1.254,62.699,1020.669
2007,VMW,1603.334,2695.7,1231.168,119.167,382.924,450,218.137,670.012,218.137,552.436,1325.811
2008,VMW,2390.088,3839.205,1840.812,151.664,390.448,450,290.133,879.75,290.133,800.131,1881.027
2009,VMW,3182.48,5066.984,2486.461,162.578,402.785,450,197.098,1294.042,197.098,985.616,2023.937
2010,VMW,4297.655,6797.319,3323.64,245.215,416.701,450,357.439,1789.152,357.439,1174.389,2857.343
2011,VMW,5677.772,8680.808,4512.206,343.887,423.61,450,723.936,2401.506,723.936,2025.633,3767.096
2012,VMW,6120.039,10596.392,4630.834,427.823,428.688,450,745.702,2960.234,745.702,1897.524,4605.047
2013,VMW,7681,12327,6175,452,430.349,450,1014,3293,1014,2535,5207
2014,VMW,9130,15216,7075,586,429.359,1500,886,3996,886,2180,6035
2015,VMW,9360,15746,7509,683,421.947,1500,997,4129,997,1899,6647
2016,VMW,10335,16643,7985,732,408.351,1500,1186,4554,1186,2381,7093
2017,VMW,13734,20622,11653,832,403.776,4234,570,5033,570,3211,7922
2007,TGH,129.937,1128.346,69.447,58.674,47.605,581.414,67.668,126.728,67.668,144.434,255.792
2008,TGH,144.771,1303.767,71.49,59.71,47.605,724.643,85.241,86.079,85.241,142.264,277.081
2009,TGH,147.585,1360.023,56.819,54.468,47.761,686.896,90.776,122.047,90.776,99.694,237.282
2010,TGH,153.494,1747.207,57.081,44.711,48.318,889.197,120.031,192.915,120.031,163.883,303.879
2011,TGH,219.807,2310.204,74.816,58.634,48.951,1509.191,189.606,201.209,189.606,213.345,422.796
2012,TGH,281.21,3476.08,100.127,74.243,55.755,2261.702,206.95,252.887,206.95,266.527,487.094
2013,TGH,342.532,3908.983,120.223,61.712,56.451,2667.284,182.809,215.17,182.809,316.629,528.973
2014,TGH,339.515,4358.977,107.067,85.625,56.863,2995.977,189.362,183.789,189.362,362.807,563.091
2015,TGH,368.43,4386.254,115.594,67.77,56.533,3023.548,106.887,162.336,106.887,369.88,542.2
2016,TGH,313.818,4295.979,84.045,86.729,56.787,3038.297,-50.662,257.249,-50.662,286.089,509.723
2017,TGH,335.292,4380.342,137.894,72.603,57.097,2990.308,19.365,396.366,19.365,250.975,490.85
2007,AMCN,240.011,266.859,210.915,19.979,66.713,0,-5.11,7.73,-5.11,-6.51,41.628
2008,AMCN,240.836,329.891,161.534,64.784,67.213,0,30.198,25.549,30.198,3.586,119.433
2009,AMCN,194.968,316.651,125.771,131.028,65.59,0,-37.239,47.217,-37.239,8.858,149.428
2010,AMCN,215.614,347.186,113.303,174.429,65.953,0,-4.917,65.709,-4.917,10.626,230.505
2011,AMCN,247.665,361.468,119.097,219.332,62.624,0,-9.596,87.61,-9.596,17.932,270.624
2012,AMCN,261.425,343.867,126.282,226.573,61.056,0,-32.728,104.052,-32.728,20.23,286.742
2013,AMCN,275.104,402.791,112.967,222.811,59.567,0,-10.626,111.087,-10.626,0.537,272.266
2014,AMCN,249.876,395.597,99.561,221.304,59.971,0,-25.695,125.266,-25.695,-1.814,252.481
2015,AMCN,342.618,531.601,90.665,83.806,62.198,0,-70.651,107.432,149.647,-69.062,50.233
2016,AMCN,205.244,381.19,117.547,36.071,62.815,0,-65.625,90.209,-65.625,-103.61,16.513
2017,AMCN,98.592,225.002,18.472,46.919,62.815,0,-156.476,75.795,-156.476,-58.57,23.759
2007,RBCN,81.908,111.411,72.155,18.69,20.489,0.043,-2.854,5.729,-2.854,7.107,34.11
2008,RBCN,60.312,112.345,44.962,21.294,20.549,0,4.355,3.952,4.355,1.503,37.838
2009,RBCN,59.592,101.186,44.584,18.085,20.233,0,-9.63,3.746,-9.63,-3.292,19.808
2010,RBCN,122.231,206.742,82.737,30.139,22.961,0,29.111,14.648,29.111,24.059,77.362
2011,RBCN,135.656,259.952,55.007,54.641,22.515,0,38.059,16.6,38.059,24.612,134
2012,RBCN,126.721,248.096,44.105,55.256,22.552,0,-5.538,12.384,-5.538,-2.738,67.243
2013,RBCN,86.405,202.695,34.803,50.774,22.659,0,-30.351,6.637,-30.351,0.412,41.513
2014,RBCN,85.403,194.906,45.098,61.735,26.139,0,-43.993,5.753,-43.993,-19.222,45.685
2015,RBCN,60.257,119.242,30.281,35.557,26.233,0,-77.83,6.702,-77.83,-16.716,23.818
2016,RBCN,45.749,53.013,17.835,28.968,26.829,0,-62.879,2.564,-62.879,-15.285,19.63
2017,RBCN,34.233,35.048,18.176,9.124,2.733,0,-17.851,1.715,-17.851,-2.034,5.044
2009,LOGM,136.23,142.859,130.246,4.635,22.449,0,8.797,41.843,8.797,24.339,74.408
2010,LOGM,176.39,186.677,167.424,5.742,23.859,0,21.099,54.769,21.099,36.469,98.557
2011,LOGM,211.783,232.057,198.644,6.399,24.552,0,5.761,72.71,5.761,32.871,119.461
2012,LOGM,232.158,279.538,212.093,8.969,24.814,0,3.566,90.305,3.566,28.257,138.837
2013,LOGM,212.097,279.613,189.556,11.794,24.103,0,-7.682,108.996,-7.682,30.02,166.258
2014,LOGM,230.895,317.849,202.661,18.582,24.419,0,7.955,138.209,7.955,74.153,221.956
2015,LOGM,236.435,455.699,208.427,23.676,25.13,60,14.558,176.298,14.558,85.77,271.6
2016,LOGM,228.09,443.293,196.466,31.158,25.552,30,2.638,206.859,2.638,92.315,336.068
2017,LOGM,398.824,3858.108,252.402,114.887,52.564,0,99.523,445.228,99.523,316.197,989.786
2008,ERII,116.328,120.612,79.533,18.411,50.016,0.621,8.663,13.193,8.663,1.364,52.119
2009,ERII,96.179,142.969,64.386,16.412,51.216,1.083,3.686,17.495,3.686,12.817,47.014
2010,ERII,88.198,133.917,59.974,18.577,52.596,0.517,-3.608,10.347,-3.608,1.698,45.853
2011,ERII,56.67,110.713,35.9,16.817,52.645,0.185,-26.443,9.879,-26.443,-8.256,28.047
2012,ERII,60.859,104.554,31.374,19.659,50.903,0.018,-8.254,12.856,-8.254,-4.432,42.632
2013,ERII,51.873,101.935,24.538,14.447,51.354,0,-3.106,10.682,-3.106,2.088,43.045
2014,ERII,53.241,85.941,31.196,10.527,51.919,0,-18.705,11.522,-18.705,-3.715,30.426
2015,ERII,123.531,151.799,101.678,15.911,52.469,0.048,-11.638,16.024,-11.638,69.055,44.713
2016,ERII,122.369,149.063,102.734,14.8,53.163,0.038,1.034,17.158,1.034,4.965,54.715
2017,ERII,126.196,161.744,100.464,16.026,53.906,0.027,12.35,19.833,12.35,2.895,63.156
2009,VRSK,225.345,996.953,80.813,446.894,180.054,527.509,126.614,300.279,126.614,326.401,1027.104
2010,VRSK,240.435,1217.09,60.627,463.473,170.064,401.826,242.552,720.882,242.552,336.032,1138.343
2011,VRSK,453.654,1541.106,196.669,533.735,164.285,1105.886,282.758,349.65,282.758,375.721,1331.84
2012,VRSK,390.559,2360.336,94.702,607.174,167.727,1461.425,329.142,585.35,329.142,468.229,1534.32
2013,VRSK,474.845,2504.451,169.712,622.523,167.458,1275.887,342.314,431.179,348.38,506.92,1595.703
2014,VRSK,384.483,2345.33,43.16,716.598,157.913,1436.932,370.865,771.27,400.042,489.452,1746.726
2015,VRSK,604.569,5615.927,180.614,797.274,169.425,3167.99,507.577,1479.257,507.577,623.687,2068.01
2016,VRSK,500.9,4631.2,142.6,697.8,166.916,2387,451.5,621.6,591.2,546.1,1995.2
2017,VRSK,597.6,6020.3,169,783.8,164.879,3008.8,555.1,1337.6,555.1,743.5,2145.2
2009,AVGO,864,1970,472,771,235.393,599,-44,633,-44,139,1484
2010,AVGO,1087,2157,561,988,239.888,236,415,565,415,510,2093
2011,AVGO,1393,2446,829,1054,245.962,6,552,350,552,726,2336
2012,AVGO,1691,2862,1084,1086,245.477,3,563,346,563,693,2364
2013,AVGO,1818,3415,999,1146,249.1,2,552,423,552,722,2520
2014,AVGO,3835,10491,1628,1740,254.331,5509,309,1016,263,1175,4269
2015,AVGO,3775,10592,1843,2518,276.259,3949,1391,1119,1364,2318,6824
2016,AVGO,7125,49966,3097,4892,398.281,13642,-1633,3078,-1739,3411,13240
2017,AVGO,15823,54418,11204,6141,408.732,17548,1698,2529,1692,6551,17636
2009,RST,155.089,225.442,95.238,27.999,20.44,0,13.363,66.181,13.363,41.15,252.271
2010,RST,201.367,276.474,122.251,32.442,20.975,0,13.284,92.735,13.284,31.706,258.868
2011,RST,200.765,277.181,116.301,40.477,21.258,0,-19.988,103.28,-19.988,3.373,268.449
2012,RST,211.177,275.855,148.263,40.873,21.951,0,-35.831,118.476,-35.831,34.901,273.241
2013,RST,190.721,290.776,111.249,37.657,21.588,0,-16.134,136.071,-16.134,8.068,264.645
2014,RST,164.279,288.404,64.78,44.827,21.936,3.748,-73.706,186.009,-73.706,6.673,261.853
2015,RST,119.66,228.543,47.862,29.36,22.15,3.143,-46.796,161.807,-46.796,-5.645,217.67
2016,RST,93.05,194.31,36.597,24.191,22.451,2.559,-27.55,158.749,-27.55,1.24,197.689
2017,RST,90.098,194.755,43.036,27.677,22.783,2.3,-1.546,147.89,-1.546,19.302,184.593
2009,MDSO,101.652,143.409,76.015,41.456,22.895,3.516,5.182,94.03,5.182,28.176,140.4
2010,MDSO,132.881,157.945,85.498,45.844,24.089,0.78,22.817,82.315,22.817,6.184,166.426
2011,MDSO,147.666,189.835,107.677,47.372,24.888,0.25,39.398,70.94,39.398,28.668,178.459
2012,MDSO,182.701,224.631,122.554,57.106,26.039,0.155,18.02,74.215,18.02,13.245,218.347
2013,MDSO,304.545,573.353,241.22,65.345,53.634,229.787,16.661,100.19,16.661,69.597,276.849
2014,MDSO,357.852,622.217,273.001,79.146,54.413,240.932,6.092,94.84,6.092,61.616,335.071
2015,MDSO,383.201,687.481,269.888,83.686,56.311,252.788,13.167,121.078,13.167,86.972,392.506
2016,MDSO,518.78,817.885,374.804,105.247,57.733,263.401,28.983,132.331,28.983,88.769,463.381
2017,MDSO,637.616,1046.114,484.292,112.98,58.607,97.841,44.38,429.115,44.38,121.746,545.532
2009,CYOU,235.356,289.391,226.901,14.017,51.555,0,144.684,68.536,144.684,187.801,267.585
2010,CYOU,365.116,502.512,350.957,21.074,52.039,0,174.904,88.161,174.904,207.223,327.153
2011,CYOU,370.907,753.073,347.971,38.72,52.512,0,245.456,155.496,245.456,276.602,484.576
2012,CYOU,587.403,1114.513,535.294,66.549,52.892,239.353,282.4,297.958,282.4,340.436,623.429
2013,CYOU,1045.176,1585.212,946.479,84.064,52.246,410.331,268.642,648.948,268.642,358.643,737.875
2014,CYOU,807.371,1547.965,696.2,136.694,51.979,370,-3.381,247.947,-3.381,50.316,755.266
2015,CYOU,1272.068,1779.506,971.717,175.787,50.805,344.5,212.784,714.899,212.784,213.344,761.636
2016,CYOU,1465.903,1708.037,830.679,139.79,51.011,0,144.947,516.498,144.947,193.978,525.385
2017,CYOU,1597.464,1922.023,977.743,143.979,51.353,0,108.834,557.319,108.834,210.459,580.261
2009,FTNT,342.217,387.213,260.314,61.653,66.813,0,60.179,180.565,60.179,61.971,252.115
2010,FTNT,420.158,545.422,313.51,79.51,74.381,0,41.245,218.382,41.245,103.383,324.696
2011,FTNT,523.57,734.747,390.273,106.609,154.992,0,62.492,266.864,62.492,132.842,433.576
2012,FTNT,569.274,975.497,413.694,135.856,160.348,0,66.836,319.304,66.836,183.866,533.639
2013,FTNT,735.546,1168.464,491.37,165.02,161.535,0,44.273,413.061,44.273,147.384,615.297
2014,FTNT,1046.865,1424.774,720.02,208.981,166.443,0,25.343,496.456,25.343,196.582,770.364
2015,FTNT,1270.543,1790.51,891.351,255.188,171.399,0,7.987,678.67,7.987,282.547,1009.268
2016,FTNT,1538.716,2139.941,1085.525,289.317,173.078,0,32.187,829.44,32.187,345.708,1275.443
2017,FTNT,1716.82,2257.916,1251.277,329.808,167.89,0,31.399,1027.223,31.399,594.405,1494.93
2010,SPSC,51.641,57.88,40.473,11.093,11.85,0.122,2.884,9.089,2.884,4.919,44.597
2011,SPSC,48.239,77.618,31.985,13.362,12.139,0,13.703,11.466,13.703,4.485,57.969
2012,SPSC,91.511,159.201,66.05,18.889,14.813,0,1.222,14.471,1.222,6.829,77.106
2013,SPSC,156.075,223.33,131.294,26.888,16.092,0,1.051,18.915,1.051,18.243,104.391
2014,SPSC,162.194,243.775,130.795,34.277,16.349,0,2.704,24.56,2.704,16.788,127.947
2015,SPSC,166.786,261.731,129.055,43.778,16.724,0,4.639,24.234,4.639,14.429,158.518
2016,SPSC,185.933,298.365,138.953,57.748,17.081,0,5.71,32.161,5.71,18.765,193.295
2017,SPSC,219.456,335.52,163.319,66.417,17.127,0,-2.44,43.147,-2.44,31.05,220.566
2010,DQ,241.738,650.971,203.7,105.582,35.143,142.495,68.571,171.01,68.571,125.624,246.068
2011,DQ,179.453,878.477,104.297,134.077,35.143,225.117,33.324,217.841,33.324,44.858,267.949
2012,DQ,96.511,816.308,17.329,85.959,6.915,256.528,-109.536,260.311,-111.929,-10.307,95.587
2013,DQ,91.145,610.2,16.657,82.07,6.937,184.92,-70.943,299.124,-70.943,-16.525,114.421
2014,DQ,121.949,710.131,29.237,110.673,8.943,146.697,16.649,396.068,16.649,45.62,183.125
2015,DQ,88.776,660.851,33.553,112.534,10.433,170.124,12.957,275.394,12.957,66.426,185.866
2016,DQ,73.303,656.708,31.88,114.294,10.518,162.347,43.494,249.75,43.494,98.672,234.427
2017,DQ,142.364,748.783,72.667,169.982,10.837,144.487,92.841,216.513,92.841,142.705,359.622
2010,JKS,484.011,890.962,147.378,484.331,23.77,57.461,133.617,445.744,133.617,34.911,705.281
2011,JKS,732.213,1457.983,170.68,947.818,22.359,148.601,43.43,896.517,43.43,-126.811,1173.351
2012,JKS,639.735,1343.85,183.36,679.294,22.19,157.074,-247.575,1001.339,-247.575,114.966,769.613
2013,JKS,882.555,1752.849,262.429,871.905,27.013,347.471,31.057,1195.486,31.057,103.257,1169.341
2014,JKS,1677.356,3076.369,648.915,1176.024,31.073,537.891,108.472,1696.059,108.472,30.15,1608.247
2015,JKS,2253.017,4190.396,930.622,1879.655,31.368,1114.243,105.553,2351.864,105.553,206.714,2481.781
2016,JKS,2836.713,3757.834,896.582,2411.481,31.683,166.391,142.686,2644.773,263.101,-259.681,3082.333
2017,JKS,3013.672,4401.335,922.465,3514.335,33.037,246.225,21.78,3068.167,21.78,-27.219,4068.817
2010,SGOC,127.145,152.621,30.031,182.992,17.428,0,19.932,88.463,19.932,8.305,217.301
2011,SGOC,84.984,85.201,0.534,277.939,17.258,0,16.619,11.22,16.619,-58.228,313.136
2012,SGOC,105.386,105.647,11.548,154.152,17.465,0,4.213,27.314,4.213,-13.887,166.701
2013,SGOC,104.512,104.735,13.497,184.969,17.66,0,8.444,16.925,8.444,1.384,200.974
2014,SGOC,92.539,92.553,0.092,41.194,17.415,0,-2.288,7.356,-2.288,-10.784,43.23
2015,SGOC,1.181,86.882,0.345,1.823,17.885,0,-2.418,9.046,-2.418,-0.762,1.921
2016,SGOC,6.607,100.272,0.029,3.603,9.388,0,-5.047,7.27,-5.047,-1.079,5.069
2017,SGOC,5.707,98.453,4.777,2.196,16.165,0,-11.214,3.386,-11.214,-7.977,0.051
2010,MXL,109.19,118.918,94.486,19.687,31.89,0.116,10.114,13.746,10.114,4.838,68.701
2011,MXL,95.079,112.376,75.182,23.457,33.25,0.034,-22.024,18.494,-22.024,-7.109,71.937
2012,MXL,98.018,110.597,72.075,33.488,32.854,0.002,-13.252,29.568,-13.252,7.544,97.728
2013,MXL,93.716,124.929,61.944,41.87,35.34,0,-12.733,37.158,-12.733,12.89,119.646
2014,MXL,100.914,135.711,69.095,46.047,37.911,0,-7.041,33.246,-7.041,12.234,133.112
2015,MXL,190.002,334.505,111.256,117.303,62.402,0,-42.331,55.832,-42.331,55.041,300.36
2016,MXL,214.043,422.652,130.814,132.836,65.031,0,61.292,54.543,61.292,117.317,387.832
2017,MXL,201.304,824.862,73.348,149.438,67.4,347.609,-9.187,76.386,-9.187,75.064,420.318
2010,AOSL,181.737,258.167,119.708,215.097,22.101,4.687,37.591,67.64,37.591,29.787,301.84
2011,AOSL,201.345,347.438,86.762,239.409,24.562,0.436,37.827,82.979,37.827,30.088,361.308
2012,AOSL,193.781,366.157,82.402,233.863,24.938,22.046,12.917,63.919,12.917,32.881,342.291
2013,AOSL,205.855,356.321,92.61,235.757,25.656,15.033,-5.575,53.491,-5.575,28.007,337.436
2014,AOSL,227.779,364.348,118.032,231.174,26.304,2.066,-3.308,73.616,-3.308,37.644,318.121
2015,AOSL,215.893,348.617,106.453,240.156,26.316,1.005,-7.935,66.337,-7.935,27.13,327.935
2016,AOSL,187.93,318.505,87.962,242.536,22.754,2.514,-2.928,69.48,-2.928,40.182,335.661
2017,AOSL,225.476,398.408,115.929,264.328,23.992,1.694,13.829,94.91,13.829,42.648,383.337
