Ticker,Date,Price,Returns,Shares
DSPG,20160531,10.47,0.102105,21719
DSPG,20160630,10.61,0.013371,21743
DSPG,20160729,10.83,0.020735,21743
DSPG,20160831,11.54,0.065559,21894
DSPG,20160930,12.01,0.040728,22009
DSPG,20161031,10.9,-0.092423,22009
DSPG,20161130,11.7,0.073395,21622
DSPG,20161230,13.05,0.115385,21931
DSPG,20170131,10.85,-0.168582,21931
DSPG,20170228,10.45,-0.036866,21931
DSPG,20170331,12,0.148325,22169
DSPG,20170428,12.45,0.0375,22169
DSPG,20170531,11.85,-0.048193,22169
DSPG,20170630,11.6,-0.021097,22151
DSPG,20170731,12.6,0.086207,22151
DSPG,20170831,11.9,-0.055556,22250
DSPG,20170929,13,0.092437,22276
DSPG,20171031,13.4,0.030769,22276
DSPG,20171130,13.05,-0.026119,22323
DSPG,20171229,12.5,-0.042146,22433
DSPG,20180131,13.1,0.048,22433
SGMA,20120131,3.73,0.130303,3910
SGMA,20120229,3.9,0.045576,3910
SGMA,20120330,4.11,0.053846,3910
SGMA,20120430,3.77,-0.082725,3910
SGMA,20120531,3.8,0.007958,3910
SGMA,20120629,3.35,-0.118421,3910
SGMA,20120731,3.49,0.041791,3930
SGMA,20120831,3.63,0.040115,3930
SGMA,20120928,4.35,0.198347,3930
SGMA,20121031,4.53,0.041379,3930
SGMA,20121130,4.11,-0.092715,3930
SGMA,20121231,4.1201,0.002457,3930
SGMA,20130131,5.15,0.24997,3930
SGMA,20130228,5.85,0.135922,3930
SGMA,20130328,4.24,-0.275214,3930
SGMA,20130430,4.13,-0.025943,3940
SGMA,20130531,4.15,0.004843,3940
SGMA,20130628,4.26,0.026506,3940
SGMA,20130731,4.18,-0.018779,3961
SGMA,20130830,4.4,0.052632,3961
SGMA,20130930,5.36,0.218182,3961
SGMA,20131031,5.21,-0.027985,3961
SGMA,20131129,6.66,0.278311,3961
SGMA,20131231,8.88,0.333333,3961
SGMA,20140131,9.34,0.051802,3979
SGMA,20140228,10.71,0.146681,3979
SGMA,20140331,11.99,0.119514,3983
SGMA,20140430,10.32,-0.139283,4012
SGMA,20140530,10,-0.031008,4012
SGMA,20140630,12.06,0.206,4012
SGMA,20140731,11.14,-0.076285,4037
SGMA,20140829,11.01,-0.01167,4037
SGMA,20140930,7.27,-0.339691,4045
SGMA,20141031,7,-0.037139,4054
SGMA,20141128,8.09,0.155714,4054
SGMA,20141231,6.68,-0.174289,4054
SGMA,20150130,5.82,-0.128742,4059
SGMA,20150227,6.56,0.127148,4059
SGMA,20150331,7.2,0.097561,4059
SGMA,20150430,8.0513,0.118236,4076
SGMA,20150529,8.5999,0.068138,4076
SGMA,20150630,9.1,0.058152,4076
SGMA,20150731,6.4499,-0.29122,4166
